lake;month;year;ocsed
TP;1;2010;0.403009132
TP;2;2010;1.059307375
TP;3;2010;2.604140391
TP;4;2010;1.565217193
TP;5;2010;1.708442777
TP;6;2010;2.527423681
TP;7;2010;3.31564007
TP;8;2010;2.321479667
TP;9;2010;4.159391748
TP;10;2010;1.028227573
TP;11;2010;0.503451038
TP;1;2011;0.351314606
TP;2;2011;0.51077885
TP;3;2011;1.913416364
TP;4;2011;2.041883441
TP;5;2011;1.877098668
TP;6;2011;1.407898007
TP;7;2011;1.919311511
TP;8;2011;8.609378163
TP;9;2011;8.421835778
TP;9;2011;0.619808043
TP;10;2011;0.361199837
TP;11;2011;1.291352019
TP;12;2011;0.683961826
TP;1;2012;0.522521898
TP;2;2012;0.742148115
TP;3;2012;1.983412599
TP;4;2012;1.794178908
TP;5;2012;0.901546938
TP;6;2012;1.295157739
TP;7;2012;1.056673991
TP;8;2012;0.260586909
TP;9;2012;0.890947173
TP;10;2012;0.867598432
TP;11;2012;1.567852597
TP;12;2012;1.698037231
TP;1;2013;0.190822864
TP;2;2013;1.521269688
TP;3;2013;0.559035923
TP;4;2013;2.110371424
TP;5;2013;0.713596601
TP;6;2013;0.831969359
TP;7;2013;0.914422437
